time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2,Basis,Upper,Lower,Volume,Volume MA,Histogram,MACD,Signal
2019-01-01T00:00:00Z,131.45,132.22,131.01,131.82,NaN,NaN,138.59,NaN,NaN,NaN,NaN,NaN,12677.96176,NaN,NaN,NaN,NaN
2019-01-01T01:00:00Z,131.83,131.88,131,131.14,NaN,NaN,138.67,NaN,NaN,NaN,NaN,NaN,9541.84565,NaN,NaN,NaN,NaN
2019-01-01T02:00:00Z,131.19,131.34,130,130.72,NaN,NaN,139.18,NaN,NaN,NaN,NaN,NaN,12039.04136,NaN,NaN,NaN,NaN
2019-01-01T03:00:00Z,130.72,131.47,130.71,131.32,NaN,NaN,138.91,NaN,NaN,NaN,NaN,NaN,6320.30743,NaN,NaN,NaN,NaN
2019-01-01T04:00:00Z,131.31,134,131.3,132.35,NaN,NaN,138.99,NaN,NaN,NaN,NaN,NaN,29214.64195,NaN,NaN,NaN,NaN
2019-01-01T05:00:00Z,132.37,132.98,132.37,132.75,NaN,NaN,143.48,NaN,NaN,NaN,NaN,NaN,6738.65777,NaN,NaN,NaN,NaN
2019-01-01T06:00:00Z,132.74,133.5,132.67,133.36,NaN,NaN,144.57,NaN,NaN,NaN,NaN,NaN,6204.28401,NaN,NaN,NaN,NaN
2019-01-01T07:00:00Z,133.36,134.3,133.01,133.56,NaN,NaN,144.62,NaN,NaN,NaN,NaN,NaN,10214.95098,NaN,NaN,NaN,NaN
2019-01-01T08:00:00Z,133.56,135.3,133.19,134.52,132.65,NaN,148.65,NaN,NaN,NaN,NaN,NaN,16342.20664,NaN,NaN,NaN,NaN
2019-01-01T09:00:00Z,134.55,134.78,133.55,133.7,132.65,NaN,147.81,NaN,NaN,NaN,NaN,NaN,14895.3571,NaN,NaN,NaN,NaN
2019-01-01T10:00:00Z,133.72,134.14,133.66,133.86,132.65,NaN,148.07,NaN,NaN,NaN,NaN,NaN,6388.10191,NaN,NaN,NaN,NaN
2019-01-01T11:00:00Z,133.89,134.7,133.71,133.75,133.005,NaN,151.9,NaN,NaN,NaN,NaN,NaN,6651.35501,NaN,NaN,NaN,NaN
2019-01-01T12:00:00Z,133.78,134.76,133.17,134.48,133.3,NaN,150.55,NaN,NaN,NaN,NaN,NaN,11418.68868,NaN,NaN,NaN,NaN
2019-01-01T13:00:00Z,134.48,136,133.87,134.54,134.185,NaN,148.62,NaN,NaN,NaN,NaN,NaN,12634.38176,NaN,NaN,NaN,NaN
2019-01-01T14:00:00Z,134.43,134.51,132.95,133.57,134.33499999999998,NaN,149.24,NaN,NaN,NaN,NaN,NaN,13344.36318,NaN,NaN,NaN,NaN
2019-01-01T15:00:00Z,133.52,133.73,132.26,132.98,134.13,NaN,149.06,NaN,NaN,NaN,NaN,NaN,15723.74805,NaN,NaN,NaN,NaN
2019-01-01T16:00:00Z,132.97,133.31,132.5,133.29,134.13,NaN,149.2,NaN,NaN,NaN,NaN,NaN,5547.57941,NaN,NaN,NaN,NaN
2019-01-01T17:00:00Z,133.29,133.6,132.52,132.58,134.13,NaN,150.49,NaN,NaN,NaN,NaN,NaN,5271.94755,NaN,NaN,NaN,NaN
2019-01-01T18:00:00Z,132.56,132.65,131,132.04,133.5,NaN,151.18,NaN,NaN,NaN,NaN,NaN,14789.61709,NaN,NaN,NaN,NaN
2019-01-01T19:00:00Z,132.04,135.58,132.04,135.27,133.5,NaN,153.55,NaN,NaN,133.07999999999998,NaN,NaN,25553.45267,12075.624498000001,NaN,NaN,NaN
2019-01-01T20:00:00Z,135.26,139.48,135.16,137.95,135.24,NaN,153.67,NaN,NaN,133.38649999999996,NaN,NaN,67055.85959,14794.519389500001,NaN,NaN,NaN
2019-01-01T21:00:00Z,137.95,139.02,137,137.06,135.24,NaN,152.01,NaN,NaN,133.68249999999995,NaN,NaN,29727.81932,15803.818073000002,NaN,NaN,NaN
2019-01-01T22:00:00Z,137.05,137.97,136.21,137.63,135.24,NaN,149.4,NaN,NaN,134.02799999999996,NaN,NaN,18585.43636,16131.137823000003,NaN,NaN,NaN
2019-01-01T23:00:00Z,137.64,140.67,136.71,139.1,135.83499999999998,NaN,150.89,NaN,NaN,134.41699999999997,NaN,NaN,44895.28274,18059.886588500005,NaN,NaN,NaN
2019-01-02T00:00:00Z,139.1,140,138.07,138.92,135.83499999999998,NaN,151.03,NaN,NaN,134.74549999999996,NaN,NaN,33866.97867,18292.503424500002,NaN,NaN,NaN
2019-01-02T01:00:00Z,138.92,140,137.76,138.04,135.83499999999998,135.33499999999998,151.78,NaN,NaN,135.00999999999996,NaN,NaN,16295.357,18770.338386000003,NaN,2.178875680151407,NaN
2019-01-02T02:00:00Z,138.02,138.75,137.79,138.59,135.83499999999998,135.33499999999998,152.22,NaN,NaN,135.27149999999997,NaN,NaN,12044.92321,19062.370346000003,NaN,2.1904884946448817,NaN
2019-01-02T03:00:00Z,138.59,139.28,138.02,138.67,136.355,135.33499999999998,151.72,NaN,NaN,135.527,NaN,NaN,10906.43754,19096.944674000002,NaN,2.1810057881124862,NaN
2019-01-02T04:00:00Z,138.66,139.58,138.3,139.18,137.915,135.69,151.93,NaN,NaN,135.75999999999996,NaN,NaN,10134.86636,18786.577660000003,NaN,2.1894053110501943,NaN
2019-01-02T05:00:00Z,139.19,139.21,138.75,138.91,138.44,135.83499999999998,151.8,NaN,NaN,136.02049999999997,NaN,NaN,6609.11869,18372.2657395,NaN,2.149497184450979,NaN
2019-01-02T06:00:00Z,138.91,139.31,138.3,138.99,138.44,135.83499999999998,148.51,NaN,NaN,136.27699999999996,NaN,NaN,13868.53292,18746.28729,NaN,2.1001162056686837,NaN
2019-01-02T07:00:00Z,138.99,144,138.96,143.48,140.35500000000002,137.5,147.99,NaN,NaN,136.76349999999996,NaN,NaN,64269.95592,21627.217335499998,NaN,2.395671094592302,NaN
2019-01-02T08:00:00Z,143.48,147.3,143.42,144.57,142.53,139.15,148.28,NaN,NaN,137.26799999999997,NaN,NaN,115673.3497,26839.950386499997,NaN,2.6868816646083076,NaN
2019-01-02T09:00:00Z,144.58,145.6,143.65,144.62,142.53,139.15,146.5,NaN,NaN,137.77199999999996,NaN,NaN,37872.04809,28101.833702999993,0.5594793654374541,2.888406964027041,2.328927598589587
2019-01-02T10:00:00Z,144.66,149.09,144.36,148.65,143.44,140.04500000000002,148.33,NaN,NaN,138.52599999999995,NaN,NaN,62152.25443,30542.228265499994,0.804747776074282,3.3348623186824398,2.5301145426081577
