time,BTC_open,BTC_close,BTC_vol,ETHER_open,ETHER_close,ETHER_vol,XRP_open,XRP_close,XRP_vol,date,time
2017-05-19 16:00:00+00:00,1966.6,1948.9,3213.74079889,116.1,119.3,30732.7980236,0.37999,0.34486999999999995,564406.73692597,2017-05-19,16:00:00
2017-05-19 20:00:00+00:00,1948.9,1966.5,4044.49663786,118.76,124.4,63035.42937829,0.34484000000000004,0.32498,1566526.27195364,2017-05-19,20:00:00
2017-05-20 00:00:00+00:00,1966.5,1987.2,2212.47062779,124.49,127.8,19863.90705342,0.32499,0.31284,653590.18486156,2017-05-20,00:00:00
2017-05-20 04:00:00+00:00,1987.2,1993.0,2451.91397793,127.75,122.8,42740.13524026,0.3126,0.32542,392883.03241408,2017-05-20,04:00:00
2017-05-20 08:00:00+00:00,1993.0,1977.4,4104.06021369,123.04,122.5,12941.09638453,0.32685,0.35538000000000003,1088994.86671102,2017-05-20,08:00:00
2017-05-20 12:00:00+00:00,1977.3,1990.6,3772.4196369999995,122.45,124.64,10634.82205664,0.35401,0.35024,630175.88174943,2017-05-20,12:00:00
2017-05-20 16:00:00+00:00,1989.0,2037.0,4844.10279542,124.69,126.91,19773.6187341,0.3515,0.36246999999999996,418293.68806908,2017-05-20,16:00:00
2017-05-20 20:00:00+00:00,2037.0,2059.3,4305.05514134,126.75,123.03,16928.79195808,0.36229,0.34715999999999997,424935.47509718,2017-05-20,20:00:00
2017-05-21 00:00:00+00:00,2059.3,2069.8,1611.62289631,123.49,124.91,13419.02657038,0.34700000000000003,0.35700000000000004,119914.39143339,2017-05-21,00:00:00
2017-05-21 04:00:00+00:00,2069.8,2054.7,2095.5958819,125.01,128.49,12490.32426021,0.35628000000000004,0.3515,560191.88927507,2017-05-21,04:00:00
2017-05-21 08:00:00+00:00,2055.1,2082.9,2634.33777238,128.49,138.89,57913.29035936,0.355,0.34489000000000003,567993.52082606,2017-05-21,08:00:00
2017-05-21 12:00:00+00:00,2082.8,2028.9,4772.95071833,138.89,135.67,48329.2788792,0.34299999999999997,0.33599,630891.82860404,2017-05-21,12:00:00
2017-05-21 16:00:00+00:00,2029.5,2032.0,2658.83792642,135.67,141.7,45013.90667478,0.335,0.33673000000000003,260326.76817607,2017-05-21,16:00:00
2017-05-21 20:00:00+00:00,2031.8,2026.6,3448.53347976,141.7,146.14,43018.48172507,0.33666,0.327,458488.37718642,2017-05-21,20:00:00
2017-05-22 00:00:00+00:00,2027.0,2083.7,5561.17309607,146.14,148.1,80196.97586847,0.327,0.3224,691248.33522619,2017-05-22,00:00:00
2017-05-22 04:00:00+00:00,2082.4,2154.2,5154.88824921,147.7,167.0,55789.11620736,0.31999,0.297,1113597.61299092,2017-05-22,04:00:00
2017-05-22 08:00:00+00:00,2154.2,2146.5,7255.70631891,167.0,168.2,109696.27753129,0.29830999999999996,0.32344,1798465.2558068,2017-05-22,08:00:00
2017-05-22 12:00:00+00:00,2146.6,2171.3,5449.88498714,168.2,167.49,53309.65480087,0.32344,0.3009,1528513.7936808998,2017-05-22,12:00:00
2017-05-22 16:00:00+00:00,2171.3,2164.8,12798.55960106,167.5,168.6,48480.98722842,0.30464,0.29699000000000003,830510.81537918,2017-05-22,16:00:00
2017-05-22 20:00:00+00:00,2164.9,2087.3,21011.61199055,168.6,154.92,126233.44276233,0.30461,0.29717,512613.42634446,2017-05-22,20:00:00
2017-05-23 00:00:00+00:00,2087.3,2128.4,2780.51202964,155.16,160.2,22874.85309389,0.29912,0.293,92190.25636905,2017-05-23,00:00:00
2017-05-23 04:00:00+00:00,2129.0,2142.0,3069.28216351,160.18,162.78,14325.35357573,0.29117,0.29001,381419.97486582,2017-05-23,04:00:00
2017-05-23 08:00:00+00:00,2142.0,2166.0,3491.08487727,162.88,159.56,20942.46882431,0.29424,0.30569,576974.06416394,2017-05-23,08:00:00
2017-05-23 12:00:00+00:00,2166.1,2238.2,6408.33704772,159.51,170.0,55398.39550892,0.3074,0.32300999999999996,1443593.40263368,2017-05-23,12:00:00
2017-05-23 16:00:00+00:00,2238.6,2213.6,4691.137478199999,170.0,162.41,19747.31838844,0.33,0.3188,489181.85177413,2017-05-23,16:00:00
2017-05-23 20:00:00+00:00,2213.6,2249.6,2081.20554171,162.12,168.24,11700.46919164,0.32054,0.32158000000000003,271865.92833246,2017-05-23,20:00:00
2017-05-24 00:00:00+00:00,2249.2,2303.5,5250.94841143,168.25,175.63,29440.10398965,0.32,0.32187,332944.24822507,2017-05-24,00:00:00
2017-05-24 04:00:00+00:00,2306.0,2313.1,2654.6996802,175.63,185.0,21919.80027999,0.3255,0.32531,488396.05374661,2017-05-24,04:00:00
2017-05-24 08:00:00+00:00,2313.2,2348.5,4380.26405578,184.99,188.83,30022.43034578,0.32541,0.31999,574267.0739399999,2017-05-24,08:00:00
2017-05-24 12:00:00+00:00,2348.5,2352.5,5939.7034249,188.83,189.95,53599.21107618,0.31801999999999997,0.3201,910456.96707384,2017-05-24,12:00:00
2017-05-24 16:00:00+00:00,2355.3,2415.9,5137.94164128,189.94,183.06,23070.948386300002,0.32005,0.2901,1034096.69265925,2017-05-24,16:00:00
2017-05-24 20:00:00+00:00,2416.0,2395.5,6257.27062945,184.5,183.88,26544.18382407,0.2902,0.2886,948006.98972455,2017-05-24,20:00:00
2017-05-25 00:00:00+00:00,2395.5,2450.1,6521.71969329,183.88,190.02,31648.80231476,0.2886,0.24600000000000002,2972710.28348389,2017-05-25,00:00:00
2017-05-25 04:00:00+00:00,2458.6,2495.3,5039.04652161,190.02,187.62,17439.43171684,0.24953000000000003,0.2902,1627537.72448937,2017-05-25,04:00:00
2017-05-25 08:00:00+00:00,2503.2,2577.2,3759.59967952,187.62,194.0,18342.45703297,0.29020999999999997,0.25911999999999996,664027.56294413,2017-05-25,08:00:00
2017-05-25 12:00:00+00:00,2577.4,2628.5,7744.04174841,193.98,198.18,46948.3515441,0.25903000000000004,0.26447,641629.40582719,2017-05-25,12:00:00
2017-05-25 16:00:00+00:00,2628.5,2355.1,20199.68914787,197.72,173.05,96954.66488047,0.26773,0.25545999999999996,1179254.5518873,2017-05-25,16:00:00
2017-05-25 20:00:00+00:00,2356.0,2268.1,11811.78493157,173.3,168.71,35396.76918249,0.25806999999999997,0.2382,919598.39228239,2017-05-25,20:00:00
2017-05-26 00:00:00+00:00,2268.2,2320.8,5550.84544178,168.73,176.16,17061.48167818,0.2382,0.27899999999999997,1097360.34770307,2017-05-26,00:00:00
