time,BTC_open,BTC_close,BTC_vol,ETHER_open,ETHER_close,ETHER_vol,XRP_open,XRP_close,XRP_vol,USDT_open,USDT_close,USDT_vol,BCH_open,BCH_close,BCH_vol,LTC_open,LTC_close,LTC_vol
2017-12-04 00:00:00+00:00,11161.0,11599.0,60821.27575522,459.31,465.0,214746.81227579,0.24489,0.24647,41838490.92362286,0.9977,1.002,2913128.05706076,1500.0,1500.0,0.0035,99.988,103.42,305546.10747519
2017-12-05 00:00:00+00:00,11598.0,11592.0,46014.61404532,465.0,451.87,237689.74238767,0.24638000000000002,0.23113000000000003,63971018.6187994,1.0039,1.0,1744146.16114246,1520.0,1438.53,1584.31133163,103.42,99.48700000000001,309570.70738502
2017-12-06 00:00:00+00:00,11591.0,13509.0,79897.48245928,450.87,413.71,381941.24979236,0.23201999999999998,0.2149,88011463.78106576,0.9998,1.0117,2482850.95644027,1430.3,1334.19,4298.19029918,99.488,96.51299999999999,453702.70030244
2017-12-07 00:00:00+00:00,13509.0,16609.0,134710.45093996,413.71,415.02,322522.32987465,0.21481999999999998,0.20569,77394907.29839714,1.0119,1.014,1750630.52102723,1336.21,1230.09,2715.16781927,96.441,93.56,401512.80856141
2017-12-08 00:00:00+00:00,16608.0,15822.0,124038.75380736,415.03,442.19,319904.17442917,0.20509000000000002,0.23401,175485962.12588882,1.025,1.0067,631227.7670344,1227.0,1380.0,6037.35501625,93.50200000000001,120.9,1194805.48012192
2017-12-09 00:00:00+00:00,15843.0,14661.0,77819.29896123,442.19,460.92,339429.86226944,0.23354,0.2361,74467254.01064853,1.0069,1.0014,488006.77194723,1379.0,1360.0,3279.6681227,120.9,149.0,1588526.01011401
2017-12-10 00:00:00+00:00,14679.0,14960.0,107144.74531783,460.92,429.24,250282.84888671,0.23586999999999997,0.22798000000000002,59974521.07732777,1.0014,1.002,978690.77411383,1354.06,1261.06,3364.43942669,148.95,144.6,834096.30307575
2017-12-11 00:00:00+00:00,14939.0,16753.0,78076.81828266,429.2,515.25,301025.29046567,0.22844,0.24821,52028813.20637212,1.0041,1.0053,896904.64041389,1267.96,1386.09,4049.3523106,144.58,210.11,1681430.70084589
2017-12-12 00:00:00+00:00,16753.0,16972.0,52033.48316627,515.24,633.98,710619.53018373,0.24821,0.42385,272178003.01776546,1.0088,1.02,1315033.05726312,1370.48,1579.85,8112.81649601,210.1,292.12,2117599.04119928
2017-12-13 00:00:00+00:00,16968.0,16171.0,62873.93425795,633.98,690.69,759525.1812899,0.4238,0.4574,476871940.2287584,1.0185,1.002,1219821.54506078,1579.84,1586.47,7438.97772459,292.12,295.35,1249810.44868821
2017-12-14 00:00:00+00:00,16176.0,16384.0,45731.14774782,690.69,686.51,502423.56779118,0.45738999999999996,0.8599899999999999,691292007.9344499,1.0023,1.0033,1068245.10764421,1586.47,1931.81,13645.89147822,294.23,276.31,698756.59887631
2017-12-15 00:00:00+00:00,16384.0,17569.0,63123.54968782,686.45,678.29,362345.15124201,0.8584299999999999,0.73648,388886050.99200463,1.0033,1.002,1210327.90388582,1931.81,1788.99,9121.17734025,276.31,295.55,842432.36867164
2017-12-16 00:00:00+00:00,17569.0,19210.0,48267.92073506,678.13,683.25,201409.45804529998,0.73648,0.7390100000000001,163618774.84237108,1.0052,1.0052,883877.72551213,1788.99,1765.0,3877.06346809,295.56,295.45,382944.97414491
2017-12-17 00:00:00+00:00,19209.0,18960.0,51803.96368941,683.24,708.78,215686.52229042,0.73883,0.71097,79960401.2057733,1.0059,0.9958,1598575.52298866,1761.5,1820.03,5031.00142703,296.03,313.5,529903.2750874001
2017-12-18 00:00:00+00:00,18956.0,18928.0,53568.50604739,709.45,783.99,433464.13684449,0.7105899999999999,0.75576,159117569.47656804,0.9953,0.9985,2083418.75596161,1829.56,2154.0,17250.62865259,313.41,355.5,539161.16472843
2017-12-19 00:00:00+00:00,18924.0,17345.0,66651.87840732,783.99,799.98,532742.41053662,0.75575,0.73,176133583.65533173,0.9986,1.0129,2184322.36596445,2154.85,2735.0,21541.28661192,355.73,340.8,632851.22346171
2017-12-20 00:00:00+00:00,17344.0,16425.0,82156.87188401,800.0,794.94,433048.164316,0.73,0.7140000000000001,128221448.18725576,1.0129,0.9945,1891160.96845994,2734.91,3720.0,59431.70814156,340.36,304.31,582039.99044988
2017-12-21 00:00:00+00:00,16425.0,15645.0,65594.82358257,794.45,786.98,343750.9589466,0.7140000000000001,1.125,459522586.90517765,0.9942,0.995,1710754.20986205,3720.0,3065.0,21376.38189869,303.72,306.63,419555.96968734
2017-12-22 00:00:00+00:00,15645.0,13173.0,178636.92421001,786.96,628.19,791449.14219204,1.1224,0.9830399999999999,497497645.0962665,0.9951,1.0257,4774150.98258607,3065.0,2610.25,37417.650490199994,306.64,248.38,1077885.69092905
2017-12-23 00:00:00+00:00,13173.0,14035.0,59928.80576678,626.67,672.59,240916.35291294,0.98798,0.9981,105811669.8414239,1.024,1.0297,2499330.93307284,2650.38,3067.94,16167.38383069,248.38,269.0,384521.1228149
2017-12-24 00:00:00+00:00,14036.0,13477.0,72382.22428346,672.82,659.9,313103.73206373,0.9949600000000001,0.9681,109266715.09616068,1.0297,1.024,3843525.67912206,3067.96,2900.0,12335.51271193,269.03,261.99,333843.312923
2017-12-25 00:00:00+00:00,13503.0,13633.0,45609.49611512,659.88,709.81,218745.42061906,0.9662,0.9714,53005494.55264401,1.0242,1.0109,3450740.59717268,2900.0,2772.01,6328.38609618,261.38,261.14,180548.22596949
