time,BTC_open,BTC_close,BTC_vol,ETHER_open,ETHER_close,ETHER_vol,XRP_open,XRP_close,XRP_vol
2019-01-01 00:00:00+00:00,3832.6286241999996,3835.16350319,265.35481187,136.0,136.49122580000002,6798.65433559,0.36130999999999996,0.36198,586929.85612907
2019-01-01 01:00:00+00:00,3835.04869856,3829.1461376999996,375.96968921,136.47,135.87,10449.192299600001,0.36201,0.36071,306640.17871746
2019-01-01 02:00:00+00:00,3827.6,3817.4,425.14746914,135.87,135.41,16582.55584569,0.36079,0.3589,438610.88687117
2019-01-01 03:00:00+00:00,3817.3,3828.4,176.99869237,135.46,136.28,2496.91053886,0.35886999999999997,0.3615,289447.86900291
2019-01-01 04:00:00+00:00,3828.4,3825.0,307.67548875,136.25,137.21,21113.31321432,0.3615,0.3632,697931.53207375
2019-01-01 05:00:00+00:00,3824.0,3833.3,148.45360175,137.21,137.6,1267.64697055,0.36333000000000004,0.36412,121671.77468191
2019-01-01 06:00:00+00:00,3833.3,3833.21182446,196.2978215,137.6,138.12,7103.29510002,0.3645,0.36312,220017.70600231
2019-01-01 07:00:00+00:00,3833.21182446,3851.0,870.18729001,138.12,138.5,9170.59587728,0.36322,0.36539,254685.0423942
2019-01-01 08:00:00+00:00,3850.0,3859.6,350.45814937,138.51,140.02,38027.10243261,0.36527,0.36714,1263943.21936047
2019-01-01 09:00:00+00:00,3859.5,3843.8,153.03093201,140.0228535,139.3,13241.83594712,0.36726,0.36541,627508.28841183
2019-01-01 10:00:00+00:00,3844.0,3855.6,134.30296275,139.30931723,139.28657785,5042.09802653,0.36546999999999996,0.3654,340618.73743824
2019-01-01 11:00:00+00:00,3855.56839127,3850.6,304.45498299,139.29,139.10335955,4287.15511489,0.3654,0.3654,686429.98655911
2019-01-01 12:00:00+00:00,3850.7,3864.8,398.87420434,139.10335955,139.83,7097.62437649,0.36548,0.36629,717380.42780216
2019-01-01 13:00:00+00:00,3864.0,3866.1,562.68563286,139.83,140.03,24489.92873419,0.36629,0.3668,625186.517659
2019-01-01 14:00:00+00:00,3866.2,3839.3,545.33353894,140.03,138.84,9201.33058522,0.36680999999999997,0.3637,488139.7935233
