time,BTC_open,BTC_close,BTC_vol,ETHER_open,ETHER_close,ETHER_vol,XRP_open,XRP_close,XRP_vol
2017-05-19 00:00:00+00:00,1941.9,1966.5,23001.54277259,98.55,124.4,257956.36293859,0.37999,0.32498,2130933.00887961
2017-05-20 00:00:00+00:00,1966.5,2059.3,21690.02239317,124.49,123.03,122882.37142703,0.32499,0.34715999999999997,3608873.12890235
2017-05-21 00:00:00+00:00,2059.3,2026.6,17221.878675099997,123.49,146.14,220184.308469,0.34700000000000003,0.327,2597806.77550105
2017-05-22 00:00:00+00:00,2027.0,2087.3,57231.82424294,146.14,154.92,473706.45439874,0.327,0.29717,6474949.23942845
2017-05-23 00:00:00+00:00,2087.3,2249.6,22521.55913805,155.16,168.24,144988.85858293,0.29912,0.32158000000000003,3255225.47813908
2017-05-24 00:00:00+00:00,2249.2,2395.5,29620.82784304,168.25,183.88,184596.67790197,0.32,0.2886,4288168.02536932
2017-05-25 00:00:00+00:00,2395.5,2268.1,55075.88172227,183.88,168.71,246730.47667163,0.2886,0.2382,8004757.92091428
2017-05-26 00:00:00+00:00,2268.2,2125.9,39694.88825283,168.73,152.8,186150.53617891,0.2382,0.259,6493159.05482324
2017-05-27 00:00:00+00:00,2126.0,1980.2,47132.38673002,153.5,149.99,362274.18899729,0.25881,0.20142000000000002,9369145.62064263
2017-05-28 00:00:00+00:00,1979.9,2056.9,25758.21791361,150.35,161.91,184110.48370831,0.20190999999999998,0.21631,5838709.80742871
2017-05-29 00:00:00+00:00,2056.8,2207.4,16455.47155728,161.48,189.99,135112.8216434,0.21631,0.22499,3998030.98903666
2017-05-30 00:00:00+00:00,2207.0,2146.7,21448.63349515,188.1,224.69,216873.20041801,0.22405,0.19823,3942879.57724892
2017-05-31 00:00:00+00:00,2146.8,2191.82545389,21235.80538279,224.78,218.34,167110.36987516,0.19762000000000002,0.23756999999999998,6349241.61520096
2017-06-01 00:00:00+00:00,2191.60075499,2312.0,18959.51293368,218.41,211.4,129862.13349887,0.23600000000000002,0.32048000000000004,16032858.70437481
2017-06-02 00:00:00+00:00,2311.9,2405.9,12549.64323152,211.4,214.77,43618.18025543,0.32406,0.28406,6283984.71865449
2017-06-03 00:00:00+00:00,2404.7,2461.0,10767.96190593,214.6,217.01,27501.56424164,0.28397,0.28057,3199897.02696986
2017-06-04 00:00:00+00:00,2461.6,2488.2,11880.38342039,217.01,241.06,107651.30551063,0.28379,0.28841999999999995,4488245.91963007
2017-06-05 00:00:00+00:00,2488.2,2636.9,15390.43178474,241.06,242.16,57896.68799269,0.28841999999999995,0.28304,1975113.37831215
2017-06-06 00:00:00+00:00,2636.7,2844.6,42676.36640127,242.1,261.89,117903.10874839,0.2846,0.28112,6718638.42016536
2017-06-07 00:00:00+00:00,2844.7,2644.0,22094.38822838,261.89,250.7,72507.02068708,0.28010999999999997,0.2701,3658666.44321133
2017-06-08 00:00:00+00:00,2644.1,2781.5,16934.25044584,250.99,256.95,42085.69599441,0.27009,0.28249,2288428.1961904
2017-06-09 00:00:00+00:00,2783.2,2809.0,9521.11676705,257.02,278.41,77593.31568158,0.28426,0.28031999999999996,2379963.77885275
2017-06-10 00:00:00+00:00,2809.0,2806.0,16131.16167834,278.82,325.88,161667.86912425,0.28036,0.251,5036157.21626497
2017-06-11 00:00:00+00:00,2810.6,2941.8,19010.08284277,325.88,336.33,144037.00224028,0.251,0.26811999999999997,4243778.50449265
2017-06-12 00:00:00+00:00,2938.8,2569.6,48244.45423786,336.24,386.9,336162.14456307,0.27,0.23705,9026799.170415401
2017-06-13 00:00:00+00:00,2569.0,2677.1,23170.00589906,386.9,382.7,126829.45511569,0.23986,0.2597,3645353.14051103
